Shar	Pdis	Mmyo	Pkuh	Mmol	Raeg	Rfer	Btau	Oorc	Sscr	Cfer	Csim	Ecab	Mjav	Fcat	Hhya	Cfam	Mput	Zcal	Ccri	Eeur	Sara	Moch	Mmus	Rnor	Hgla	Svul	Ocun	Opri	Tbel	Mmur	Ogar	Sbol	Ptro	Hsap	Mfas	Dnov	Tman	Lafr	Eedw	Etel	Mdom	Vurs	Glea	Oana
140	263	70	39	1036	100	70	1404	85	216	501	1586	68	813	75	60	918	159	975	59	143	56	1052	67	813	122	73	154	567	1098	491	174	107	853	4479	1713	267	NA	271	55	79	322	63	69	123
32	50	118	32	724	14457	820	870	1048	994	71	1240	57	3047	3331	132	146	438	511	64	147	67	117	216	254	127	195	50	1543	684	89	45	2174	336	137	81	2994	NA	6613	571	454	110	120	48	52
137	92	241	46	706	115	82	54	644	504	269	1875	149	73	1036	446	82	73	2071	54	287	33	245	58	128	172	59	117	188	49	129	6489	733	697	134	894	173	NA	1138	631	309	49	112	798	82
298	74	291	59	351	72	626	165	2951	82	107	957	90	106	308	470	44	100	638	186	267	89	272	122	89	122	732	151	61	249	102	82	79	215	230	48	37	NA	1549	254	92	1196	66	2358	147
770	631	290	88	107	349	1969	127	1783	621	72	1394	358	88	436	64	147	257	63	360	148	110	1641	79	1179	51	74	65	138	948	1677	260	63	151	61	70	105	NA	3371	580	72	1159	153	78	189
95	2467	95	820	358	88	303	75	117	113	289	1411	67	2355	218	151	607	967	1724	116	214	176	923	80	622	186	86	167	268	68	263	1593	1052	3523	476	124	63	NA	43	125	98	1012	78	61	118
66	93	81	54	186	315	5749	70	76	209	181	944	242	1719	146	62	111	307	938	284	306	156	448	137	106	320	108	107	90	3513	90	442	253	124	132	309	293	NA	94	64	826	2898	115	52	214
117	165	70	149	345	156	2871	3008	93	194	73	174	558	47	565	206	377	466	971	53	1061	272	268	164	536	41	174	214	58	191	1206	50	59	93	136	132	1041	NA	129	187	187	2186	204	65	79
327	30	73	32	78	80	170	76	49	205	904	62	331	127	1547	107	351	829	304	422	77	97	107	130	47	457	211	123	465	113	1206	369	89	44	506	1585	232	NA	83	108	364	592	73	108	123
72	1884	139	84	111	507	56	73	179	769	152	4472	2567	70	258	58	88	334	383	62	80	68	2522	205	500	127	58	103	273	406	136	93	665	396	1083	3678	220	NA	121	1045	287	72	2009	2619	49
